full_name,profession_id,profession_group_id,gender,date_of_birth,hire_date,resignation_date
"S.Ak, Hendra Purwanto",18,2,M,1978-09-02,1997-12-31,
Made Utomo,24,2,M,1973-05-13,1991-07-09,
"Lina Wijaya, MBA",13,2,F,1979-03-16,2006-09-06,
"S.Farm, Zainal Raharjo",9,1,M,1972-10-02,1990-05-30,
Oki Hakim,20,2,M,1967-07-24,2003-03-31,
"Oki Pratama, Sp.Farm",9,1,M,1993-08-15,2016-10-02,
"Hesti Utomo, S.Kep",3,1,F,1984-10-22,2010-04-18,
Dimas Tampubolon,7,1,M,1996-02-26,2016-05-22,
"M.M, Nadia Maulana",13,2,F,1998-05-17,2025-07-08,
Ani Purwanto,20,2,F,1967-05-16,1997-12-06,
"Ners, Putri Wibowo",3,1,F,1968-04-13,1987-04-15,
"Fajar Manurung, SST",7,1,M,1999-05-19,2020-10-21,
"S.E, Haris Santoso",17,2,M,1983-05-17,2003-04-25,
Purwanto Hutapea,22,2,M,1966-05-04,1984-06-19,
Lukas Prabowo,19,2,M,1978-03-06,2006-01-16,
Tiara Santoso,18,2,F,1967-07-03,2006-10-14,
Rini Simanjuntak,8,1,F,1970-03-28,1993-12-21,
Usman Sinaga,3,1,M,1975-04-17,2009-05-18,
"Slamet Setiawan, M.Kep",3,1,M,1993-03-16,2014-07-04,
"Novita Santoso, M.Biomed",8,1,F,1970-03-05,2006-01-05,
"Yuni Manurung, A.Md.AK",8,1,F,1996-03-25,2023-12-20,
"S.T, Zulkifli Santoso",24,2,M,1997-11-08,2024-04-11,
"A.Md.Kep, Zara Setiadi",3,1,F,1987-12-27,2021-09-03,
"A.Md, Retno Hartono",17,2,F,1978-09-30,2008-10-07,
Hadi Sari,19,2,M,1969-04-15,1990-06-14,
"Sp.Kep, Sinta Siahaan",3,1,F,1978-09-29,2012-05-18,
"Vina Raharjo, Sp.Kep",3,1,F,1974-12-05,1999-05-05,
Budi Hidayat,5,1,M,1968-03-29,1995-10-04,
Dwi Pasaribu,22,2,M,1972-06-19,2002-02-02,
Puspita Utomo,19,2,F,2003-11-21,2022-08-15,
"Anisa Kurniawan, dr.",1,1,F,1965-09-27,1986-02-19,
Ade Malik,20,2,M,2003-07-11,2021-02-25,
"S.E, Yuni Hartono",18,2,F,1968-05-16,1991-01-20,
"Novita Prasetyo, dr. Sp.B",2,1,F,1992-05-15,2023-11-29,
"Mega Sugiarto, S.Tr.Rad",7,1,F,1992-07-27,2018-05-25,
Nanang Utomo,20,2,M,1965-09-10,1998-10-11,
"A.Md.Kep, Sri Suryanto",3,1,F,1995-02-02,2017-04-26,2019-03-14
"Citra Susanto, M.Kep",3,1,F,1977-04-21,2015-04-18,
"Cahyo Maulana, drg. Sp.Pros",2,1,M,1987-10-27,2007-12-21,
"Endah Nasution, Ners",3,1,F,1972-11-03,1991-05-10,
Retno Malik,16,2,F,1993-07-05,2020-12-01,
"Ani Hutabarat, Dr.",3,1,F,2000-03-05,2019-11-02,
Yoga Nasution,1,1,M,1978-08-24,2014-09-06,
"Apt., Agus Suprapto",9,1,M,1992-06-10,2017-01-08,
"Ak., Wati Lubis",18,2,F,1966-06-28,2006-12-08,
"S.Kes, Wahyu Wijayanto",14,2,M,1970-01-01,2002-04-08,
Farhan Putra,20,2,M,1985-06-26,2009-08-30,
"Nur Siahaan, M.KM",16,2,F,1989-10-30,2010-07-11,
"S.Tr.Rad, Candra Pasaribu",7,1,M,1968-01-10,1991-03-29,
"Rudi Siregar, M.Ak",18,2,M,2001-03-20,2022-03-25,
"Farhan Pratama, MBBS",1,1,M,1966-04-23,2004-07-21,
"A.Md.Kep, Sri Putra",3,1,F,1987-11-26,2017-12-06,2024-03-24
"Ika Malik, A.Md",17,2,F,1999-03-10,2018-12-29,2025-11-30
Agus Pasaribu,10,1,M,1988-10-23,2011-01-19,
"S.Adm, Irfan Wijaya",17,2,M,1988-11-23,2018-08-29,
